Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value
142,Tolland,0.6,91.75,3.65,2.2,1.75,43.45,11.1,288850.0
143,Torrington,2.45,83.85,9.05,2.8,1.7,45.1,28.515,160750.0
144,Trumbull,3.4,80.05,8.65,5.4,1.75,42.8,14.43,398200.0
145,Union,0.15,94.5,2.5,1.6,0.9,50.0,9.045,276000.0
146,Vernon,6.15,76.9,9.15,4.4,2.9,38.45,28.685,208800.0
147,Voluntown,0.0,91.25,3.15,0.55,4.7,46.05,22.3,237700.0
148,Wallingford,1.5,82.05,10.15,4.8,1.2,44.95,20.16,268900.0
149,Warren,0.6,88.35,4.95,4.75,1.3,49.0,15.35,374250.0
150,Washington,0.7,88.45,8.45,1.15,0.9,51.45,20.795,454450.0
151,Waterbury,18.75,39.75,35.95,1.95,3.0,35.8,46.015,133600.0
152,Waterford,2.6,85.3,5.7,3.15,2.75,47.8,21.54,252450.0
153,Watertown,1.5,89.05,6.8,1.35,0.95,45.25,22.015,246750.0
154,West Hartford,6.6,72.4,10.85,7.65,2.1,41.35,20.87,321800.0
155,West Haven,18.7,50.3,23.65,3.9,2.9,35.6,36.325,198800.0
156,Westbrook,1.05,88.95,7.0,0.65,0.8,52.6,21.855,360700.0
157,Weston,1.75,83.95,5.75,4.15,4.25,45.7,10.625,853100.0
158,Westport,0.9,85.45,5.3,5.4,2.6,45.8,12.21,1078900.0
159,Wethersfield,3.95,80.55,9.55,3.5,2.0,44.6,21.08,253250.0
160,Willington,0.75,84.3,5.75,4.9,4.35,35.2,19.08,236150.0
161,Wilton,0.85,84.25,3.15,7.75,3.85,43.05,9.66,797950.0
162,Winchester,1.4,86.2,7.85,2.45,1.15,48.5,19.49,186150.0
163,Windham,4.7,52.05,39.05,1.8,2.15,31.35,48.57,159200.0
164,Windsor,36.5,46.25,9.45,4.3,3.2,43.4,26.44,223300.0
165,Windsor Locks,4.9,79.35,4.7,7.7,3.1,42.9,25.17,195500.0
166,Wolcott,2.25,88.25,6.7,1.55,1.2,45.45,20.47,244500.0
167,Woodbridge,2.35,76.9,4.05,14.65,1.95,48.0,12.55,473450.0
168,Woodbury,0.4,90.65,5.1,2.9,0.7,51.3,14.72,358800.0
169,Woodstock,0.0,94.2,4.3,0.3,1.25,45.95,14.065,270900.0
