Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
90,New Canaan,1.15,88.05,5.15,3.65,1.7,42.65,12.955,1288700.0,184257.0,0.545,72.7,27.3,87.75,19.35,4.25,648.825,14.062,634.762,6.979
91,New Fairfield,0.5,87.5,8.05,1.35,2.45,43.65,12.445,357850.0,107928.0,0.404,92.65,7.35,83.65,25.7,3.4,259.575,35.725,223.838,2.673
92,New Hartford,0.35,95.45,2.0,0.85,0.75,44.75,12.4,282950.0,95498.0,0.367,88.25,11.75,86.15,24.85,2.7,703.85,27.287,676.55,6.029
93,New Haven,32.15,30.2,29.45,5.1,2.35,30.5,51.38,198450.0,40849.5,0.519,91.85,8.15,51.2,44.45,10.8,5507.763,1109.35,4398.388,76.974
94,New London,14.1,46.8,31.5,2.75,4.6,31.25,48.425,186150.0,41837.0,0.484,86.35,13.65,52.9,46.6,9.55,3589.088,848.425,2740.675,81.656
95,New Milford,1.8,86.4,6.9,2.85,1.9,43.05,18.945,297400.0,86079.0,0.433,89.15,10.85,78.7,26.2,6.7,1447.375,78.35,1369.025,7.937
96,Newington,3.8,76.75,9.35,6.5,2.8,45.15,24.315,230900.0,81340.5,0.37,93.4,6.6,80.95,28.65,3.95,2688.838,93.987,2594.85,41.59
97,Newtown,1.3,88.3,6.3,2.35,1.35,44.95,15.215,402150.0,118025.0,0.416,87.8,12.2,85.6,22.15,2.55,620.438,36.538,583.9,6.237
98,Norfolk,0.35,90.95,2.7,1.05,4.85,51.6,18.72,316350.0,74027.0,0.488,93.25,6.75,77.0,36.45,5.95,722.725,35.738,686.988,9.02
99,North Branford,1.45,92.75,3.15,1.4,1.25,47.85,17.615,294000.0,90358.0,0.421,88.4,11.6,85.65,29.2,1.55,1380.625,32.45,1348.2,11.256
100,North Canaan,1.35,89.8,7.95,0.1,0.8,46.15,22.01,207400.0,66222.5,0.397,91.15,8.85,67.35,42.8,4.9,1016.7,63.775,952.938,16.516
101,North Haven,3.85,84.55,4.4,5.65,1.2,45.85,17.45,296350.0,95576.0,0.413,84.0,16.0,82.6,29.9,3.05,2416.538,66.5,2350.05,18.06
102,North Stonington,1.55,86.05,4.8,2.55,4.45,46.75,16.215,294800.0,68958.5,0.402,96.3,3.7,74.25,30.65,9.95,987.037,71.375,915.675,11.107
103,Norwalk,13.5,53.15,26.15,4.9,1.75,40.25,26.305,424450.0,83236.5,0.491,81.05,18.95,63.45,28.2,17.4,2242.95,319.512,1923.438,34.843
104,Norwich,10.25,60.2,15.5,7.65,5.55,37.85,38.245,173600.0,53821.5,0.436,89.95,10.05,61.8,43.75,6.1,2464.225,332.0,2132.212,57.417
105,Old Lyme,0.65,93.5,2.85,2.0,0.7,50.95,13.265,397750.0,96221.0,0.44,93.8,6.2,80.65,34.35,3.75,626.875,24.062,602.8,3.203
106,Old Saybrook,0.65,91.5,3.5,2.75,1.2,52.3,15.645,387350.0,79299.0,0.459,90.65,9.35,75.55,39.9,4.85,1468.812,72.138,1396.688,38.669
107,Orange,3.7,81.7,3.25,9.55,1.5,45.25,15.97,388000.0,118268.0,0.437,85.15,14.85,84.05,27.6,3.35,2706.7,54.712,2652.0,17.544
108,Oxford,1.95,90.05,5.6,1.35,1.05,45.4,13.365,356600.0,101692.5,0.365,87.4,12.6,84.95,24.15,3.75,688.038,31.45,656.625,3.406
109,Plainfield,2.7,89.1,3.9,1.95,2.2,41.35,24.0,181850.0,63681.0,0.382,93.7,6.3,67.2,40.5,4.55,660.725,81.988,578.712,12.233
110,Plainville,2.25,84.6,8.95,3.0,1.2,42.45,29.08,206650.0,64256.0,0.406,93.55,6.45,72.35,34.75,5.55,3201.888,233.688,2968.2,59.653
111,Plymouth,1.1,89.5,5.3,0.15,3.7,43.2,24.19,200550.0,74598.0,0.374,87.0,13.0,76.6,30.65,5.0,1586.1,58.188,1527.913,21.587
112,Pomfret,1.05,94.3,2.65,0.8,1.0,44.75,16.32,288500.0,91420.5,0.423,84.8,15.2,79.85,29.2,2.95,590.637,37.55,553.112,4.756
113,Portland,0.4,94.05,3.4,0.65,1.35,43.7,20.42,250250.0,94085.5,0.424,89.6,10.4,80.75,28.95,3.4,885.3,81.588,803.688,9.533
114,Preston,1.3,85.35,1.65,5.15,5.6,46.35,20.68,254250.0,78580.0,0.395,87.65,12.35,77.8,36.05,3.6,764.888,88.6,676.312,8.454
115,Prospect,4.35,88.95,3.55,0.55,2.4,46.0,16.325,295700.0,104532.0,0.341,85.25,14.75,82.3,27.1,3.6,852.05,31.35,820.688,3.937
116,Putnam,0.7,91.7,3.65,0.65,3.2,43.8,39.7,188350.0,57970.5,0.418,90.25,9.75,63.05,42.15,8.5,2492.587,328.45,2164.15,24.933
117,Redding,0.7,91.3,3.85,1.7,2.3,47.9,12.29,591950.0,128599.0,0.465,84.8,15.2,83.45,23.75,6.8,670.525,20.088,650.425,10.437
118,Ridgefield,0.95,88.35,5.3,3.2,1.75,44.75,11.665,665350.0,149266.0,0.492,86.95,13.05,86.65,18.35,5.85,342.488,4.512,337.938,6.817
119,Rocky Hill,4.0,71.45,6.05,15.4,1.8,43.15,20.825,265500.0,83349.5,0.406,91.3,8.7,82.4,27.55,3.1,1641.337,31.075,1610.262,8.113
120,Roxbury,0.0,95.65,2.2,1.5,0.5,52.0,6.465,612100.0,102969.0,0.514,65.95,34.05,82.35,28.25,2.95,611.575,27.8,583.775,3.107
121,Salem,2.15,89.1,4.25,2.85,0.85,39.05,16.205,288800.0,105025.5,0.391,95.85,4.15,84.65,23.7,5.45,732.512,40.0,692.537,5.5
122,Salisbury,1.6,93.6,2.5,1.3,1.05,51.3,17.465,505250.0,77713.0,0.5,69.15,30.85,76.6,36.4,6.45,671.575,47.75,623.825,9.951
123,Scotland,0.1,85.9,5.0,0.05,8.9,44.4,9.66,230150.0,83986.5,0.331,92.35,7.65,76.55,30.5,4.45,702.4,61.075,641.35,1.697
124,Seymour,3.35,82.8,9.8,2.45,1.05,41.55,23.315,263600.0,78693.5,0.402,90.5,9.5,75.6,30.6,4.25,1194.612,80.675,1113.938,26.617
125,Sharon,0.65,90.5,3.3,1.1,4.3,57.85,9.165,390900.0,86092.5,0.553,82.55,17.45,68.9,46.1,3.35,627.95,59.963,567.988,11.763
126,Shelton,1.6,85.7,7.0,4.3,1.25,47.05,18.455,344200.0,92871.5,0.439,85.2,14.8,79.15,30.75,3.6,1169.562,63.887,1105.688,6.971
